sagemaker.config INFO - Not applying SDK defaults from location: /etc/xdg/sagemaker/config.yaml
sagemaker.config INFO - Not applying SDK defaults from location: /home/choij/.config/sagemaker/config.yaml
--------------------
Resource summary (last result is reported):
 trial_id     status  iter        signal background  channel optimizer         scheduler   initLR  nNodes  weight_decay  max_epochs  epoch  objective  train_loss  train_accuracy  valid_loss  valid_accuracy  worker-time
        0    Stopped    81 MHc-130_MA-90        ttZ Combined      Adam     ExponentialLR 0.001000      64      0.000316          81   81.0   0.000542    0.000519        0.769107    0.000537        0.760333  3396.059807
        1    Stopped    15 MHc-130_MA-90        ttZ Combined      Adam     ExponentialLR 0.006143      49      0.001350          81   15.0   0.000605    0.000587        0.691905    0.000600        0.687548   695.613373
        2    Stopped    45 MHc-130_MA-90        ttZ Combined      Adam     ExponentialLR 0.001018      68      0.000011          81   45.0   0.000551    0.000532        0.755262    0.000547        0.749524  1910.479014
        3    Stopped     5 MHc-130_MA-90        ttZ Combined  Adadelta     ExponentialLR 0.000404      92      0.000587          81    5.0   0.000693    0.000677        0.534012    0.000690        0.535548   343.642075
        4    Stopped     5 MHc-130_MA-90        ttZ Combined   RMSprop     ExponentialLR 0.000381     101      0.006958          81    5.0   0.000619    0.000603        0.671202    0.000615        0.670238   342.557506
        5    Stopped     5 MHc-130_MA-90        ttZ Combined      Adam     ExponentialLR 0.000346     114      0.000059          81    5.0   0.000623    0.000603        0.671946    0.000619        0.669429   343.367311
        6    Stopped     5 MHc-130_MA-90        ttZ Combined  Adadelta     ExponentialLR 0.000370      87      0.001423          81    5.0   0.000694    0.000678        0.536869    0.000690        0.539905   343.038387
        7    Stopped    15 MHc-130_MA-90        ttZ Combined   RMSprop          CyclicLR 0.000135      55      0.000017          81   15.0   0.000576    0.000558        0.724726    0.000572        0.722714   696.815989
        8    Stopped     5 MHc-130_MA-90        ttZ Combined  Adadelta     ExponentialLR 0.000102     127      0.000011          81    5.0   0.000702    0.000683        0.522417    0.000697        0.521881   335.083129
        9    Stopped     5 MHc-130_MA-90        ttZ Combined  Adadelta     ExponentialLR 0.000118      35      0.002149          81    5.0   0.000710    0.000692        0.493851    0.000706        0.495262   337.989591
       10    Stopped     5 MHc-130_MA-90        ttZ Combined  Adadelta     ExponentialLR 0.001562      51      0.009475          81    5.0   0.000706    0.000690        0.508982    0.000703        0.511071   339.439173
       11    Stopped     5 MHc-130_MA-90        ttZ Combined   RMSprop     ExponentialLR 0.003901     116      0.000054          81    5.0   0.000638    0.000621        0.637851    0.000634        0.636238   332.275494
