prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_25to35_EB1, 2063.000000, 0.071311, 0.000000
ptcorr_25to35_EB2, 1892.000000, 0.000007, 0.107889
ptcorr_25to35_EE, 4003.000000, 0.015675, 0.073033
ptcorr_35to50_EB1, 1959.000000, 0.295810, 0.109117
ptcorr_35to50_EB2, 1793.000000, 0.271703, 0.112366
ptcorr_35to50_EE, 3628.000000, 0.303946, 0.094766
ptcorr_50to100_EB1, 2143.000000, 0.284973, 0.091033
ptcorr_50to100_EB2, 1813.000000, 0.276141, 0.087862
ptcorr_50to100_EE, 3255.000000, 0.286992, 0.080146
ptcorr_100to200_EB1, 393.000000, 0.284016, 0.079171
ptcorr_100to200_EB2, 333.000000, 0.530902, 0.055393
ptcorr_100to200_EE, 464.000000, 0.281973, 0.077680
