prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_25to35_EB1, 598.000000, 0.870915, 0.000153
ptcorr_25to35_EB2, 507.000000, 0.350752, 0.129382
ptcorr_25to35_EE, 875.000000, 0.250599, 0.210817
ptcorr_35to50_EB1, 510.000000, 0.180648, 0.274730
ptcorr_35to50_EB2, 507.000000, 0.156944, 0.301564
ptcorr_35to50_EE, 881.000000, 0.171751, 0.284243
ptcorr_50to100_EB1, 514.000000, 0.000000, 0.000002
ptcorr_50to100_EB2, 409.000000, 0.000000, 0.000003
ptcorr_50to100_EE, 858.000000, 0.000000, 0.000000
ptcorr_100to200_EB1, 105.000000, 0.000000, 0.000000
ptcorr_100to200_EB2, 73.000000, 0.000000, 0.000000
ptcorr_100to200_EE, 126.000000, 0.000000, 0.000001
