prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_25to35_EB1, 241.000000, 0.722647, 0.000787
ptcorr_25to35_EB2, 207.000000, 0.269806, 0.136728
ptcorr_25to35_EE, 309.000000, 0.173304, 0.246424
ptcorr_35to50_EB1, 207.000000, 0.139860, 0.257673
ptcorr_35to50_EB2, 186.000000, 0.000000, 0.525695
ptcorr_35to50_EE, 239.000000, 0.114949, 0.277216
ptcorr_50to100_EB1, 312.000000, 0.000000, 0.000001
ptcorr_50to100_EB2, 204.000000, 0.000000, 0.000005
ptcorr_50to100_EE, 252.000000, 0.000000, 0.000000
ptcorr_100to200_EB1, 77.000000, 0.000000, 0.000001
ptcorr_100to200_EB2, 49.000000, 0.000000, 0.000014
ptcorr_100to200_EE, 31.000000, 0.000034, 0.000075
