prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_25to35_EB1, 5444.000000, 0.189704, 0.000000
ptcorr_25to35_EB2, 5407.000000, 0.043663, 0.037397
ptcorr_25to35_EE, 12527.000000, 0.000000, 0.039220
ptcorr_35to50_EB1, 5398.000000, 0.451449, 0.080283
ptcorr_35to50_EB2, 5590.000000, 0.433440, 0.085644
ptcorr_35to50_EE, 13991.000000, 0.475403, 0.070002
ptcorr_50to100_EB1, 4439.000000, 0.459137, 0.072447
ptcorr_50to100_EB2, 4597.000000, 0.453284, 0.072557
ptcorr_50to100_EE, 12566.000000, 0.474271, 0.064604
ptcorr_100to200_EB1, 649.000000, 0.472315, 0.064512
ptcorr_100to200_EB2, 675.000000, 0.000000, 0.140140
ptcorr_100to200_EE, 1647.000000, 0.471999, 0.063813
