,,,Scale
MeasFakeMu8,loose,Central,0.00047581443948753406
MeasFakeMu8,loose,PromptNormUp,0.0005471866054106642
MeasFakeMu8,loose,PromptNormDown,0.00040444227356440396
MeasFakeMu8,loose,MotherJetPtUp,0.0005198063871416269
MeasFakeMu8,loose,MotherJetPtDown,0.00046874313964707215
MeasFakeMu8,loose,RequireHeavyTag,0.0004826653699090159
MeasFakeMu8,tight,Central,0.0004736039568612226
MeasFakeMu8,tight,PromptNormUp,0.0005446445503904059
MeasFakeMu8,tight,PromptNormDown,0.0004025633633320392
MeasFakeMu8,tight,MotherJetPtUp,0.0005181899349930391
MeasFakeMu8,tight,MotherJetPtDown,0.0004658570396881919
MeasFakeMu8,tight,RequireHeavyTag,0.0004873067171826916
MeasFakeMu17,loose,Central,0.01002425419554595
MeasFakeMu17,loose,PromptNormUp,0.011527892324877843
MeasFakeMu17,loose,PromptNormDown,0.008520616066214058
MeasFakeMu17,loose,MotherJetPtUp,0.010842342973405627
MeasFakeMu17,loose,MotherJetPtDown,0.009930594519285412
MeasFakeMu17,loose,RequireHeavyTag,0.010232160824549036
MeasFakeMu17,tight,Central,0.009957071344195148
MeasFakeMu17,tight,PromptNormUp,0.01145063204582442
MeasFakeMu17,tight,PromptNormDown,0.008463510642565876
MeasFakeMu17,tight,MotherJetPtUp,0.010793215115738913
MeasFakeMu17,tight,MotherJetPtDown,0.009869955458193158
MeasFakeMu17,tight,RequireHeavyTag,0.009668129913703232
