prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_25to35_EB1, 2698.000000, 0.499008, 0.000000
ptcorr_25to35_EB2, 2365.000000, 0.115857, 0.252269
ptcorr_25to35_EE, 4418.000000, 0.000000, 0.337056
ptcorr_35to50_EB1, 2492.000000, 0.000000, 0.277939
ptcorr_35to50_EB2, 2267.000000, 0.000000, 0.308793
ptcorr_35to50_EE, 4505.000000, 0.000000, 0.308302
ptcorr_50to100_EB1, 2301.000000, 0.073827, 0.115143
ptcorr_50to100_EB2, 2036.000000, 0.100771, 0.093312
ptcorr_50to100_EE, 4282.000000, 0.066980, 0.080200
ptcorr_100to200_EB1, 472.000000, 0.062431, 0.128108
ptcorr_100to200_EB2, 419.000000, 0.040023, 0.166362
ptcorr_100to200_EE, 760.000000, 0.060553, 0.000000
