prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_25to35_EB1, 26701.000000, 0.239233, 0.000000
ptcorr_25to35_EB2, 26818.000000, 0.171370, 0.275360
ptcorr_25to35_EE, 69040.000000, 0.231989, 0.217426
ptcorr_35to50_EB1, 26364.000000, 0.241127, 0.162338
ptcorr_35to50_EB2, 27371.000000, 0.219998, 0.178497
ptcorr_35to50_EE, 74190.000000, 0.275152, 0.149712
ptcorr_50to100_EB1, 21445.000000, 0.422141, 0.000000
ptcorr_50to100_EB2, 23154.000000, 0.364279, 0.029576
ptcorr_50to100_EE, 65622.000000, 0.245996, 0.037659
ptcorr_100to200_EB1, 3115.000000, 0.116810, 0.098095
ptcorr_100to200_EB2, 3167.000000, 0.107318, 0.077343
ptcorr_100to200_EE, 8822.000000, 0.000000, 0.028781
