prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_25to35_EB1, 9939.000000, 0.126104, 0.116099
ptcorr_25to35_EB2, 9382.000000, 0.065047, 0.274851
ptcorr_25to35_EE, 21359.000000, 0.148955, 0.263268
ptcorr_35to50_EB1, 9539.000000, 0.106059, 0.058576
ptcorr_35to50_EB2, 8794.000000, 0.097643, 0.101245
ptcorr_35to50_EE, 18121.000000, 0.124873, 0.147463
ptcorr_50to100_EB1, 10105.000000, 0.035891, 0.012540
ptcorr_50to100_EB2, 8915.000000, 0.020717, 0.039514
ptcorr_50to100_EE, 16011.000000, 0.057421, 0.058415
ptcorr_100to200_EB1, 1956.000000, 0.080888, 0.074272
ptcorr_100to200_EB2, 1611.000000, 0.094962, 0.079313
ptcorr_100to200_EE, 2507.000000, 0.004650, 0.061638
