prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_25to35_EB1, 1141.000000, 0.196109, 0.000000
ptcorr_25to35_EB2, 954.000000, 0.086498, 0.160747
ptcorr_25to35_EE, 1615.000000, 0.038636, 0.288649
ptcorr_35to50_EB1, 1006.000000, 0.023697, 0.073648
ptcorr_35to50_EB2, 848.000000, 0.023747, 0.118421
ptcorr_35to50_EE, 1217.000000, 0.000285, 0.214150
ptcorr_50to100_EB1, 1300.000000, 0.000000, 0.010735
ptcorr_50to100_EB2, 921.000000, 0.001049, 0.017323
ptcorr_50to100_EE, 1205.000000, 0.000000, 0.050522
ptcorr_100to200_EB1, 341.000000, 0.000000, 0.060394
ptcorr_100to200_EB2, 265.000000, 0.000001, 0.117856
ptcorr_100to200_EE, 205.000000, 0.015063, 0.028158
