sagemaker.config INFO - Not applying SDK defaults from location: /etc/xdg/sagemaker/config.yaml
sagemaker.config INFO - Not applying SDK defaults from location: /home/choij/.config/sagemaker/config.yaml
--------------------
Resource summary (last result is reported):
 trial_id     status  iter        signal background  channel optimizer         scheduler   initLR  nNodes  weight_decay  max_epochs  epoch  objective  train_loss  train_accuracy  valid_loss  valid_accuracy  worker-time
       10    Stopped     5 MHc-130_MA-90        ttZ Combined  Adadelta     ExponentialLR 0.000530      82      0.000411          81    5.0   0.000709    0.000693        0.476083    0.000705        0.475310   471.698988
       11     Failed     1 MHc-130_MA-90        ttZ Combined      Adam ReduceLROnPlateau 0.001344     115      0.000175          81    1.0   0.000630    0.000610        0.656643    0.000626        0.654452   193.229186
       12    Stopped     5 MHc-130_MA-90        ttZ Combined      Adam          CyclicLR 0.004171      33      0.002190          81    5.0   0.000642    0.000623        0.643351    0.000637        0.642643   491.977832
       13    Stopped     5 MHc-130_MA-90        ttZ Combined  Adadelta     ExponentialLR 0.002925      48      0.000032          81    5.0   0.000685    0.000666        0.567518    0.000680        0.563857   495.572718
       14    Stopped     5 MHc-130_MA-90        ttZ Combined      Adam          CyclicLR 0.000479      93      0.000278          81    5.0   0.000615    0.000595        0.681863    0.000610        0.681690   497.478887
       15    Stopped    15 MHc-130_MA-90        ttZ Combined      Adam          CyclicLR 0.000411     111      0.009813          81   15.0   0.000570    0.000555        0.731708    0.000566        0.730762  1057.699416
       16 InProgress    12 MHc-130_MA-90        ttZ Combined   RMSprop     ExponentialLR 0.000222      40      0.000040          81   12.0   0.000579    0.000564        0.717762    0.000576        0.716786   927.296387
       17    Stopped     5 MHc-130_MA-90        ttZ Combined  Adadelta ReduceLROnPlateau 0.001626      79      0.000045          81    5.0   0.000688    0.000669        0.560702    0.000684        0.556619   484.423480
       18 InProgress     9 MHc-130_MA-90        ttZ Combined   RMSprop ReduceLROnPlateau 0.000366      42      0.000307          81    9.0   0.000589    0.000573        0.709149    0.000586        0.706714   735.299659
       19 InProgress     8 MHc-130_MA-90        ttZ Combined      Adam ReduceLROnPlateau 0.002127      68      0.000087          81    8.0   0.000571    0.000556        0.727440    0.000568        0.726119   706.160235
       20 InProgress     8 MHc-130_MA-90        ttZ Combined      Adam          CyclicLR 0.007717      85      0.000015          81    8.0   0.000564    0.000549        0.737095    0.000560        0.733738   717.635434
       21 InProgress     8 MHc-130_MA-90        ttZ Combined      Adam          CyclicLR 0.003089      88      0.000019          81    8.0   0.000569    0.000551        0.733839    0.000565        0.730619   693.994875
       22 InProgress     8 MHc-130_MA-90        ttZ Combined      Adam          CyclicLR 0.007331      93      0.000072          81    8.0   0.000588    0.000570        0.710696    0.000584        0.709786   712.159476
       23 InProgress     8 MHc-130_MA-90        ttZ Combined      Adam ReduceLROnPlateau 0.005713      69      0.000041          81    8.0   0.000582    0.000566        0.716446    0.000578        0.716071   716.874353
       24 InProgress     8 MHc-130_MA-90        ttZ Combined      Adam          CyclicLR 0.003555      63      0.000036          81    8.0   0.000578    0.000560        0.722869    0.000574        0.721976   708.139537
       25 InProgress     8 MHc-130_MA-90        ttZ Combined      Adam ReduceLROnPlateau 0.002805      57      0.000010          81    8.0   0.000591    0.000575        0.704702    0.000587        0.702881   695.154120
       26 InProgress     8 MHc-130_MA-90        ttZ Combined      Adam ReduceLROnPlateau 0.002314      94      0.000023          81    8.0   0.000575    0.000556        0.727946    0.000571        0.726976   707.505934
       27 InProgress     0 MHc-130_MA-90        ttZ Combined      Adam     ExponentialLR 0.002038      86      0.000010          81      -          -           -               -           -               -            -
       28 InProgress     0 MHc-130_MA-90        ttZ Combined      Adam          CyclicLR 0.004966     115      0.000010          81      -          -           -               -           -               -            -
       29     Failed     0 MHc-130_MA-90        ttZ Combined      Adam          CyclicLR 0.009202     124      0.000033          81      -          -           -               -           -               -            -
       30 InProgress     0 MHc-130_MA-90        ttZ Combined      Adam          CyclicLR 0.004724     121      0.000028          81      -          -           -               -           -               -            -
16 trials running, 15 finished (0 until the end), 1279.76s wallclock-time

objective: best 0.0005531111761572815 for trial-id 8
--------------------
