,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_15to20_EB1,13390873.38850627,155711.36043861735,3208268.2432886735,21685847.550791815,2399426.2324892194
ptcorr_15to20_EB2,9445729.650355844,126718.85645868303,2438573.2942456403,15395870.13422556,1533881.3681007703
ptcorr_15to20_EE,8674584.582504228,116940.75794867554,2321599.1477373927,13799587.815854112,1308103.598237332
ptcorr_20to25_EB1,4669986.500330343,86229.12152047543,1228838.0463049165,7129848.562174377,732388.8304377384
ptcorr_20to25_EB2,3882613.186946685,78466.76486419374,1069200.1971547832,5833956.026360853,630248.5905025593
ptcorr_20to25_EE,3880191.6721625677,76569.8827370234,1130538.1587470958,5663932.818790506,573109.2774609486
ptcorr_25to35_EB1,3068104.1011791965,70558.93974085434,1010220.8449364636,4193978.1473335447,530412.493512698
ptcorr_25to35_EB2,2665003.800272011,64138.240381725744,930723.7581971325,3602175.439925967,412262.69444101333
ptcorr_25to35_EE,2584929.6282232665,65555.29509317952,915528.991119411,3455830.269759884,373856.9225786399
ptcorr_35to50_EB1,919978.6038361071,36479.4062899662,463734.36239398556,1082523.0864005652,133692.738442696
ptcorr_35to50_EB2,909389.5122423876,35048.83430521175,453347.3978050141,1084713.8048678099,154769.37258646832
ptcorr_35to50_EE,930825.2874785127,36660.16234055414,516394.12792404566,1083232.1257006538,132031.25972702212
ptcorr_50to100_EB1,288849.93586993805,13943.65033391117,222893.06982051296,305463.65068830317,49176.75943523623
ptcorr_50to100_EB2,302657.8140956593,14497.602646100715,237316.46936425602,330967.79961249337,65696.349851249
ptcorr_50to100_EE,365913.4260986894,15928.356536029218,281376.47679545736,406909.87653649563,64382.651417568595
