,,,Scale
MeasFakeEl12,loose,Central,0.000944037082521485
MeasFakeEl12,loose,PromptNormUp,0.0010384407907736335
MeasFakeEl12,loose,PromptNormDown,0.0008496333742693365
MeasFakeEl12,loose,MotherJetPtUp,0.0009496226861298448
MeasFakeEl12,loose,MotherJetPtDown,0.0009543532640077497
MeasFakeEl12,loose,RequireHeavyTag,0.0009255434781266459
MeasFakeEl12,tight,Central,0.0009000087735239935
MeasFakeEl12,tight,PromptNormUp,0.000990009650876393
MeasFakeEl12,tight,PromptNormDown,0.0008100078961715942
MeasFakeEl12,tight,MotherJetPtUp,0.0009225588491313828
MeasFakeEl12,tight,MotherJetPtDown,0.0009100498761043997
MeasFakeEl12,tight,RequireHeavyTag,0.0008367745339583905
MeasFakeEl23,loose,Central,0.0008078752077644786
MeasFakeEl23,loose,PromptNormUp,0.0008886627285409265
MeasFakeEl23,loose,PromptNormDown,0.0007270876869880308
MeasFakeEl23,loose,MotherJetPtUp,0.0008200721047751478
MeasFakeEl23,loose,MotherJetPtDown,0.0008207669188763025
MeasFakeEl23,loose,RequireHeavyTag,0.0007857557727840374
MeasFakeEl23,tight,Central,0.0007712428672631666
MeasFakeEl23,tight,PromptNormUp,0.0008483671539894833
MeasFakeEl23,tight,PromptNormDown,0.0006941185805368499
MeasFakeEl23,tight,MotherJetPtUp,0.0008011446656585665
MeasFakeEl23,tight,MotherJetPtDown,0.0007812639569894041
MeasFakeEl23,tight,RequireHeavyTag,0.0007134395719894305
