epoch,objective,train_loss,train_accuracy,valid_loss,valid_accuracy,st_worker_timestamp,st_worker_time,st_worker_iter,st_decision,st_status,trial_id,config_signal,config_background,config_channel,config_model,config_optimizer,config_scheduler,config_initLR,config_nNodes,config_weight_decay,config_max_epochs,st_tuner_time
1,0.0007143175813413,0.0006985952343259,0.4535654761904762,0.0007106893474147,0.457047619047619,1722251660.598493,570.963330543018,0,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.000879036511675,60,0.0082992382450912,81,590.1990893990151
2,0.0007123923990343,0.0006968518513299,0.4599821428571428,0.0007088061187948,0.4620238095238095,1722251682.968794,593.3336310690502,1,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.000879036511675,60,0.0082992382450912,81,615.4380953289801
3,0.0007098131609814,0.0006939836655344,0.4698154761904762,0.0007061602004936,0.4708809523809524,1722251703.3957894,613.7606256660074,2,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.000879036511675,60,0.0082992382450912,81,636.059849807003
4,0.000706103133694,0.000690148067971,0.4836190476190476,0.0007024211954502,0.4851428571428571,1722251718.9087682,629.2736048590159,3,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.000879036511675,60,0.0082992382450912,81,651.0926585060079
5,0.0007034946235872,0.0006873077551523,0.4929107142857143,0.0006997591924099,0.4940238095238095,1722251738.1224627,648.487299600034,4,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.000879036511675,60,0.0082992382450912,81,666.136558838014
6,0.0007012572178528,0.0006853011498848,0.5005119047619048,0.0006975750483217,0.5003333333333333,1722251753.2549655,663.6198024680489,5,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.000879036511675,60,0.0082992382450912,81,681.1660601060139
7,0.0007005782832702,0.0006844909659453,0.504529761904762,0.000696865825426,0.5030714285714286,1722251773.834952,684.1997889080085,6,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.000879036511675,60,0.0082992382450912,81,706.2686378819635
8,0.0006992538834966,0.000683188324528,0.5092678571428572,0.0006955464468115,0.5067142857142857,1722251791.592048,701.9568848450435,7,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.000879036511675,60,0.0082992382450912,81,721.3032834149781
9,0.00069945167853,0.0006832937580488,0.5097916666666666,0.0006957229276498,0.5068809523809524,1722251813.9641192,724.3289558640099,8,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.000879036511675,60,0.0082992382450912,81,746.3355818070122
10,0.0006983918489444,0.0006823060924098,0.5137440476190476,0.0006946797512826,0.5114761904761905,1722251829.1781275,739.5429638630012,9,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.000879036511675,60,0.0082992382450912,81,761.5328300470137
11,0.0006965697310155,0.0006802817714356,0.5200416666666666,0.0006928109711124,0.5179047619047619,1722251850.4112449,760.7760808599996,10,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.000879036511675,60,0.0082992382450912,81,781.5626787709771
