epoch,objective,train_loss,train_accuracy,valid_loss,valid_accuracy,st_worker_timestamp,st_worker_time,st_worker_iter,st_decision,st_status,trial_id,config_signal,config_background,config_channel,config_model,config_optimizer,config_scheduler,config_initLR,config_nNodes,config_weight_decay,config_max_epochs,config_penalty,st_tuner_time
1,0.0007140554168394,0.0006725067485656,0.5541309523809523,0.0006863563046568,0.5517619047619048,1722371764.755544,365.2236592060072,0,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0002508467454392,36,3.334287827019168e-05,81,2.0,387.7398052419885
1,0.0007212596613736,0.0006803601259986,0.5394761904761904,0.0006939933044569,0.5385952380952381,1722371772.4101038,372.9291175410035,0,CONTINUE,InProgress,4,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,ExponentialLR,0.0053650724023702,104,0.0006591840959924,81,2.0,393.5514735750039
2,0.000704716121157,0.0006593867174926,0.5937440476190476,0.000674496518714,0.5895714285714285,1722371792.143199,392.6113130780286,1,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0002508467454392,36,3.334287827019168e-05,81,2.0,413.557646281959
2,0.0007214976641393,0.0006789508309392,0.5478035714285714,0.0006931331086726,0.5476428571428571,1722371797.18415,397.7031629849808,1,CONTINUE,InProgress,4,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,ExponentialLR,0.0053650724023702,104,0.0006591840959924,81,2.0,419.3610508239945
3,0.0006948262594995,0.0006479544079019,0.6127619047619047,0.0006635783584344,0.6105,1722371812.1246643,412.59277905599447,2,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0002508467454392,36,3.334287827019168e-05,81,2.0,434.3668653649511
3,0.0007206216596421,0.0006786044296764,0.55375,0.0006926101729983,0.552952380952381,1722371822.2535856,422.7725990339532,2,CONTINUE,InProgress,4,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,ExponentialLR,0.0053650724023702,104,0.0006591840959924,81,2.0,444.4018322399934
4,0.0006886288076639,0.0006414507957441,0.6213273809523809,0.0006571767997174,0.6160238095238095,1722371827.822482,428.2905963070225,3,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0002508467454392,36,3.334287827019168e-05,81,2.0,449.4031563529861
4,0.0007204469435271,0.0006777826998205,0.5597797619047619,0.0006920041143894,0.5576190476190476,1722371839.8919125,440.4109260519617,3,CONTINUE,InProgress,4,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,ExponentialLR,0.0053650724023702,104,0.0006591840959924,81,2.0,459.5545121979667
5,0.0006835373860029,0.0006377228814221,0.6252202380952381,0.0006529943829491,0.619452380952381,1722371853.845994,454.3141084029921,4,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0002508467454392,36,3.334287827019168e-05,81,2.0,474.5618690949632
5,0.0007199951474155,0.0006758306718298,0.5654642857142858,0.0006905521636917,0.5623809523809524,1722371861.8873744,462.40638745500473,4,STOP,InProgress,4,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,ExponentialLR,0.0053650724023702,104,0.0006591840959924,81,2.0,484.5972707429901
6,0.000680645099708,0.0006339252420834,0.6302857142857143,0.0006494985279582,0.624547619047619,1722371869.415881,469.8839949140093,5,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0002508467454392,36,3.334287827019168e-05,81,2.0,490.10405415599234
7,0.0006779458955639,0.0006304914458166,0.634827380952381,0.0006463095957324,0.6295952380952381,1722371888.2393444,488.7074586219969,6,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0002508467454392,36,3.334287827019168e-05,81,2.0,510.1264228519867
8,0.00067615703245,0.000628338836843,0.6364464285714285,0.0006442782353787,0.6324047619047619,1722371902.7562528,503.2243667659932,7,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0002508467454392,36,3.334287827019168e-05,81,2.0,525.156245170976
9,0.0006738043342317,0.0006284310115235,0.6373630952380952,0.0006435554524262,0.6335,1722371925.628226,526.096339663025,8,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0002508467454392,36,3.334287827019168e-05,81,2.0,545.197498878988
10,0.0006723083789859,0.0006260515632373,0.6405595238095239,0.0006414705018202,0.6373095238095238,1722371955.0745623,555.5426757020177,9,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0002508467454392,36,3.334287827019168e-05,81,2.0,575.2600824440015
11,0.0006674675047397,0.000620032146573,0.6477797619047619,0.0006358439326286,0.6452142857142857,1722371990.4304411,590.8985549529898,10,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0002508467454392,36,3.334287827019168e-05,81,2.0,610.3140460979776
