,,,Scale
MeasFakeEl12,loose,Central,0.00037963210932899104
MeasFakeEl12,loose,PromptNormUp,0.0004175953202618902
MeasFakeEl12,loose,PromptNormDown,0.00034166889839609194
MeasFakeEl12,loose,MotherJetPtUp,0.0003722911038089261
MeasFakeEl12,loose,MotherJetPtDown,0.0003759938120445362
MeasFakeEl12,loose,RequireHeavyTag,0.00037204755352143325
MeasFakeEl12,tight,Central,0.00036751676971212864
MeasFakeEl12,tight,PromptNormUp,0.0004042684466833415
MeasFakeEl12,tight,PromptNormDown,0.00033076509274091576
MeasFakeEl12,tight,MotherJetPtUp,0.00034803924032103794
MeasFakeEl12,tight,MotherJetPtDown,0.0003582981070152019
MeasFakeEl12,tight,RequireHeavyTag,0.0003513135535284616
MeasFakeEl23,loose,Central,0.0008235385534731166
MeasFakeEl23,loose,PromptNormUp,0.0009058924088204283
MeasFakeEl23,loose,PromptNormDown,0.000741184698125805
MeasFakeEl23,loose,MotherJetPtUp,0.0008183571336207151
MeasFakeEl23,loose,MotherJetPtDown,0.0008253991628131213
MeasFakeEl23,loose,RequireHeavyTag,0.0008408969048232437
MeasFakeEl23,tight,Central,0.0008087095814693943
MeasFakeEl23,tight,PromptNormUp,0.0008895805396163339
MeasFakeEl23,tight,PromptNormDown,0.0007278386233224549
MeasFakeEl23,tight,MotherJetPtUp,0.0007815645073916758
MeasFakeEl23,tight,MotherJetPtDown,0.0008002875690136399
MeasFakeEl23,tight,RequireHeavyTag,0.0007576100084679212
