,Central,Stat,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptcorr_15to20_EB1,865214.2414618724,141047.69086554763,246740.80800054182,1382352.474481792,51848.46912109249
ptcorr_15to20_EB2,904702.4211614329,167961.36112666794,195704.55221058053,1567487.716201917,50886.90937396911
ptcorr_15to20_EE,3041561.0174634783,234933.0930618366,603635.014332305,5534268.953157991,67880.58420417957
ptcorr_20to25_EB1,1472171.633852818,161985.98219475304,419224.68018495006,3064451.836414686,29426.90840378376
ptcorr_20to25_EB2,1641022.8351479664,173061.60991992016,415904.55043471255,3567189.3866334204,60961.10381261562
ptcorr_20to25_EE,6206657.3722824305,348127.7632054009,1221691.2508084942,11198184.077222234,273710.79654359666
ptcorr_25to35_EB1,2543731.3255598545,214569.39362728986,713133.9735622056,3896839.603691302,75062.53525969243
ptcorr_25to35_EB2,3070437.2914162953,240861.57323957753,718390.3976682833,4238648.654765297,113103.81721876028
ptcorr_25to35_EE,8538433.53210363,397049.2889618472,2397611.124527773,13232946.8096105,175938.01094760827
ptcorr_35to50_EB1,1999903.7757645093,161913.8909301765,800058.4982615943,2558894.74452991,68424.07308963072
ptcorr_35to50_EB2,2452970.2871953454,165744.22407976192,974291.9390788883,3075738.888488361,61349.60408503713
ptcorr_35to50_EE,6939592.344676862,284677.0841668477,3103265.4984474406,8713583.843850316,248519.53705017883
ptcorr_50to100_EB1,961196.1563123311,74421.71855078464,599491.2583296852,1147908.1959500655,26712.063110109808
ptcorr_50to100_EB2,1219479.3464284306,79997.17524900117,787370.4031139099,1358736.2987284472,27831.85274103707
ptcorr_50to100_EE,3927170.191070416,133486.73984096973,2674924.962576101,4408212.160281111,186491.34226218486
