,,,Scale
MeasFakeMu8,loose,Central,0.00016519289721432227
MeasFakeMu8,loose,PromptNormUp,0.0001899718317964706
MeasFakeMu8,loose,PromptNormDown,0.00014041396263217394
MeasFakeMu8,loose,MotherJetPtUp,0.00016604801884199033
MeasFakeMu8,loose,MotherJetPtDown,0.00016536617556181345
MeasFakeMu8,loose,RequireHeavyTag,0.00017594892486316296
MeasFakeMu8,tight,Central,0.00016274592379585855
MeasFakeMu8,tight,PromptNormUp,0.0001871578123652373
MeasFakeMu8,tight,PromptNormDown,0.00013833403522647977
MeasFakeMu8,tight,MotherJetPtUp,0.00016327284380395981
MeasFakeMu8,tight,MotherJetPtDown,0.00016247952336302803
MeasFakeMu8,tight,RequireHeavyTag,0.00015504793801164878
MeasFakeMu17,loose,Central,0.0007988198380166003
MeasFakeMu17,loose,PromptNormUp,0.0009186428137190903
MeasFakeMu17,loose,PromptNormDown,0.0006789968623141103
MeasFakeMu17,loose,MotherJetPtUp,0.0008072039966858144
MeasFakeMu17,loose,MotherJetPtDown,0.000796317911993544
MeasFakeMu17,loose,RequireHeavyTag,0.0008046524912555327
MeasFakeMu17,tight,Central,0.0007783997097787118
MeasFakeMu17,tight,PromptNormUp,0.0008951596662455185
MeasFakeMu17,tight,PromptNormDown,0.0006616397533119049
MeasFakeMu17,tight,MotherJetPtUp,0.0007830579187728059
MeasFakeMu17,tight,MotherJetPtDown,0.000776489565257855
MeasFakeMu17,tight,RequireHeavyTag,0.0007241753649879586
