prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 1313.000000, 0.696521, 0.008394
ptcorr_15to20_EB2, 941.000000, 0.177822, 0.000010
ptcorr_15to20_EE, 1742.000000, 0.000000, 0.080486
ptcorr_20to25_EB1, 720.000000, 0.000043, 0.430896
ptcorr_20to25_EB2, 691.000000, 0.000000, 0.567555
ptcorr_20to25_EE, 1426.000000, 0.024617, 0.179442
ptcorr_25to35_EB1, 897.000000, 0.082789, 0.547348
ptcorr_25to35_EB2, 794.000000, 0.055316, 0.276092
ptcorr_25to35_EE, 1757.000000, 0.006507, 0.194967
ptcorr_35to50_EB1, 836.000000, 0.184856, 0.265343
ptcorr_35to50_EB2, 782.000000, 0.182359, 0.261121
ptcorr_35to50_EE, 1503.000000, 0.195740, 0.241521
ptcorr_50to100_EB1, 915.000000, 0.192217, 0.236437
ptcorr_50to100_EB2, 780.000000, 0.190965, 0.231928
ptcorr_50to100_EE, 1418.000000, 0.196560, 0.222021
ptcorr_100to200_EB1, 181.000000, 0.195904, 0.220894
ptcorr_100to200_EB2, 131.000000, 0.195412, 0.220205
ptcorr_100to200_EE, 229.000000, 0.195676, 0.219089
