prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 2664.000000, 0.786382, 0.011733
ptcorr_15to20_EB2, 1900.000000, 0.164923, 0.000081
ptcorr_15to20_EE, 2871.000000, 0.094590, 0.104658
ptcorr_20to25_EB1, 2300.000000, 0.038304, 0.466102
ptcorr_20to25_EB2, 1943.000000, 0.000003, 0.557732
ptcorr_20to25_EE, 3622.000000, 0.138576, 0.195554
ptcorr_25to35_EB1, 2891.000000, 0.000043, 0.410086
ptcorr_25to35_EB2, 2779.000000, 0.115453, 0.291659
ptcorr_25to35_EE, 6085.000000, 0.160377, 0.084601
ptcorr_35to50_EB1, 2321.000000, 0.261050, 0.215955
ptcorr_35to50_EB2, 2422.000000, 0.264476, 0.210567
ptcorr_35to50_EE, 5917.000000, 0.292183, 0.186465
ptcorr_50to100_EB1, 1928.000000, 0.290305, 0.184942
ptcorr_50to100_EB2, 1971.000000, 0.291383, 0.182145
ptcorr_50to100_EE, 5433.000000, 0.305950, 0.170116
ptcorr_100to200_EB1, 286.000000, 0.305515, 0.169792
ptcorr_100to200_EB2, 291.000000, 0.305331, 0.169502
ptcorr_100to200_EE, 747.000000, 0.306091, 0.168657
