prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 217.000000, 0.961271, 0.000014
ptcorr_15to20_EB2, 123.000000, 0.342710, 0.159213
ptcorr_15to20_EE, 173.000000, 0.180109, 0.314818
ptcorr_20to25_EB1, 81.000000, 0.136566, 0.374767
ptcorr_20to25_EB2, 88.000000, 0.346860, 0.000000
ptcorr_20to25_EE, 121.000000, 0.338105, 0.001299
ptcorr_25to35_EB1, 101.000000, 0.101347, 0.428212
ptcorr_25to35_EB2, 87.000000, 0.094629, 0.437701
ptcorr_25to35_EE, 171.000000, 0.092540, 0.440273
ptcorr_35to50_EB1, 77.000000, 0.089634, 0.436166
ptcorr_35to50_EB2, 74.000000, 0.000006, 0.660644
ptcorr_35to50_EE, 111.000000, 0.086830, 0.432544
ptcorr_50to100_EB1, 125.000000, 0.290685, 0.000000
ptcorr_50to100_EB2, 91.000000, 0.221681, 0.000001
ptcorr_50to100_EE, 92.000000, 0.133792, 0.000006
ptcorr_100to200_EB1, 36.000000, 0.231647, 0.000000
ptcorr_100to200_EB2, 27.000000, 0.000060, 0.000000
ptcorr_100to200_EE, 21.000000, 0.288204, 0.000297
