prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 380.000000, 0.973201, 0.000007
ptcorr_15to20_EB2, 250.000000, 0.354692, 0.155183
ptcorr_15to20_EE, 264.000000, 0.193850, 0.302039
ptcorr_20to25_EB1, 263.000000, 0.133847, 0.387140
ptcorr_20to25_EB2, 213.000000, 0.111675, 0.426659
ptcorr_20to25_EE, 286.000000, 0.111670, 0.426989
ptcorr_25to35_EB1, 300.000000, 0.093479, 0.460434
ptcorr_25to35_EB2, 261.000000, 0.086648, 0.473964
ptcorr_25to35_EE, 449.000000, 0.089234, 0.467285
ptcorr_35to50_EB1, 213.000000, 0.084583, 0.472983
ptcorr_35to50_EB2, 198.000000, 0.000000, 0.000000
ptcorr_35to50_EE, 381.000000, 0.089634, 0.457284
ptcorr_50to100_EB1, 206.000000, 0.295876, 0.371921
ptcorr_50to100_EB2, 204.000000, 0.294267, 0.000000
ptcorr_50to100_EE, 321.000000, 0.305330, 0.000000
ptcorr_100to200_EB1, 45.000000, 0.304676, 0.000041
ptcorr_100to200_EB2, 39.000000, 0.000062, 0.000002
ptcorr_100to200_EE, 61.000000, 0.174678, 0.000000
