epoch,objective,train_loss,train_accuracy,valid_loss,valid_accuracy,st_worker_timestamp,st_worker_time,st_worker_iter,st_decision,st_status,trial_id,config_signal,config_background,config_channel,config_optimizer,config_scheduler,config_initLR,config_nNodes,config_weight_decay,config_max_epochs,st_tuner_time
1,0.0006401592350077,0.000621053521477,0.6478095238095238,0.0006357502241929,0.6444761904761904,1721776469.6629047,153.99258133023977,0,CONTINUE,InProgress,0,MHc-130_MA-90,ttZ,Combined,Adam,ExponentialLR,0.001,64,0.0003162277660168,81,185.70695193856957
1,0.0006456364162975,0.0006274560899251,0.6392261904761904,0.0006414409563654,0.6386428571428572,1721776470.386403,154.68581618741155,0,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Combined,RMSprop,ExponentialLR,0.0039014567116597,116,5.4367325238149614e-05,81,185.7131244316697
1,0.0007036935707997,0.0006853494739958,0.5167797619047619,0.0006994603176911,0.5164285714285715,1721776471.488659,156.57920598611236,0,CONTINUE,InProgress,8,MHc-130_MA-90,ttZ,Combined,Adadelta,ExponentialLR,0.0001021400378953,127,1.0722913574323328e-05,81,185.71316893026236
1,0.0007105933291571,0.000692302458343,0.4914404761904762,0.0007063723589692,0.4938095238095238,1721776472.7390535,157.0694977939129,0,CONTINUE,InProgress,9,MHc-130_MA-90,ttZ,Combined,Adadelta,ExponentialLR,0.0001181445334473,35,0.0021494509747271,81,190.75218725577
1,0.0006485993951913,0.0006313297170258,0.6371190476190476,0.0006446140848454,0.6363571428571428,1721776473.267827,157.59838983789086,0,CONTINUE,InProgress,1,MHc-130_MA-90,ttZ,Combined,Adam,ExponentialLR,0.0061425441110971,49,0.0013502383174077,81,190.7522324435413
1,0.000714239660473,0.0006984517233712,0.4896011904761905,0.0007105962903726,0.4921666666666666,1721776475.0762117,159.40672953426838,0,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Combined,Adadelta,ExponentialLR,0.0015615291680215,51,0.0094749352030335,81,190.7522624656558
1,0.0006985973451818,0.0006824024348031,0.5147678571428571,0.0006948600581714,0.5182619047619048,1721776475.088971,159.4179378822446,0,CONTINUE,InProgress,3,MHc-130_MA-90,ttZ,Combined,Adadelta,ExponentialLR,0.0004041099906327,92,0.0005871994682693,81,190.7522947564721
1,0.0006616971159974,0.0006420042450938,0.6202440476190476,0.0006571526073274,0.6181666666666666,1721776475.5604212,159.88899271562696,0,CONTINUE,InProgress,7,MHc-130_MA-90,ttZ,Combined,RMSprop,CyclicLR,0.0001353778597357,55,1.6659286569521833e-05,81,190.75232913717628
1,0.0006969854003261,0.0006809374721986,0.5264880952380953,0.0006932820322967,0.5290238095238096,1721776475.6569676,159.95821622386575,0,CONTINUE,InProgress,6,MHc-130_MA-90,ttZ,Combined,Adadelta,ExponentialLR,0.0003703067128609,87,0.0014225166157473,81,190.75235426798463
1,0.0006501063231201,0.0006299418629634,0.6416190476190476,0.0006454529861609,0.6363809523809524,1721776475.75025,160.08005807176232,0,CONTINUE,InProgress,5,MHc-130_MA-90,ttZ,Combined,Adam,ExponentialLR,0.0003463549932975,114,5.857847406040154e-05,81,190.7523772828281
