epoch,objective,train_loss,train_accuracy,valid_loss,valid_accuracy,st_worker_timestamp,st_worker_time,st_worker_iter,st_decision,st_status,trial_id,config_signal,config_background,config_channel,config_model,config_optimizer,config_scheduler,config_initLR,config_nNodes,config_weight_decay,config_max_epochs,st_tuner_time
1,0.0006759249567985,0.0006761100850244,0.5629532383095774,0.0006759249567985,0.5665,1722125963.7941468,10.17959101300221,0,CONTINUE,InProgress,3,MHc-130_MA-90,ttZ,Combined,ParticleNet,RMSprop,ReduceLROnPlateau,0.0001882165304864,52,0.0033278758312367,81,30.11380967698642
1,0.0007046285650746,0.0007027995365802,0.5005001250312578,0.0007042064815759,0.497,1722125963.79419,10.207815250993008,0,CONTINUE,InProgress,4,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,ExponentialLR,0.0058796028801387,40,9.032015351565142e-05,81,30.117336724011693
1,0.0006977658122777,0.0006980451718662,0.4858714678669667,0.0006977658122777,0.49375,1722125963.8163853,10.223923732992262,0,CONTINUE,InProgress,2,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0001241830821568,65,3.1602462667339045e-05,81,30.1173878099944
1,0.0006966464221477,0.0006977862851504,0.4996249062265566,0.0006966464221477,0.50325,1722125963.9228444,10.306191990006482,0,CONTINUE,InProgress,0,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,ExponentialLR,0.001,64,0.0003162277660168,81,30.117424980009677
1,0.0006985177343354,0.0006983558120772,0.4728682170542636,0.0006984803676605,0.4705,1722125963.9716775,10.384371369000291,0,CONTINUE,InProgress,1,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.0003807170922352,66,1.4977658426189138e-05,81,30.117454977007583
2,0.0007098437622167,0.0007075319985623,0.501937984496124,0.0007093102782964,0.49725,1722125965.585858,11.999483113002498,1,CONTINUE,InProgress,4,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,ExponentialLR,0.0058796028801387,40,9.032015351565142e-05,81,30.11748388200067
2,0.0006929170936346,0.0006930874970353,0.5215678919729932,0.0006929170936346,0.52375,1722125965.6216536,12.029192052985309,1,CONTINUE,InProgress,2,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0001241830821568,65,3.1602462667339045e-05,81,30.117510392010445
2,0.0006496690615653,0.0006482754946947,0.6247811952988247,0.0006493474692106,0.62375,1722125965.622218,12.007662841002457,1,CONTINUE,InProgress,3,MHc-130_MA-90,ttZ,Combined,ParticleNet,RMSprop,ReduceLROnPlateau,0.0001882165304864,52,0.0033278758312367,81,30.117547522007957
2,0.0006676350764388,0.000666877356849,0.5995248812203051,0.0006674602180719,0.603,1722125965.780789,12.164136537990998,1,CONTINUE,InProgress,0,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,ExponentialLR,0.001,64,0.0003162277660168,81,30.11757531398325
2,0.0007014238983392,0.0007020046738393,0.4794323580895224,0.0007014238983392,0.47675,1722125965.8346407,12.247334758983923,1,CONTINUE,InProgress,1,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.0003807170922352,66,1.4977658426189138e-05,81,30.117606652987888
3,0.0007078813724963,0.0007062594118223,0.5094398599649912,0.0007075070738792,0.4995,1722125967.725303,14.138928391999798,2,CONTINUE,InProgress,4,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,ExponentialLR,0.0058796028801387,40,9.032015351565142e-05,81,35.15168493401143
3,0.0006855665633442,0.0006833697526447,0.5539509877469367,0.0006850596070289,0.54725,1722125967.757333,14.164871426008176,2,CONTINUE,InProgress,2,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0001241830821568,65,3.1602462667339045e-05,81,35.15173788298853
3,0.0006471020504295,0.0006461399000684,0.6245936484121031,0.0006468800157308,0.63175,1722125967.762495,14.147939949994909,2,CONTINUE,InProgress,3,MHc-130_MA-90,ttZ,Combined,ParticleNet,RMSprop,ReduceLROnPlateau,0.0001882165304864,52,0.0033278758312367,81,35.15177019400289
3,0.000654414393172,0.0006504781985765,0.6274693673418354,0.0006535060405731,0.61925,1722125968.0129154,14.39626280599623,2,CONTINUE,InProgress,0,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,ExponentialLR,0.001,64,0.0003162277660168,81,35.15179921899107
3,0.0007038889378309,0.0007043181247608,0.4816829207301825,0.0007038889378309,0.491,1722125968.0563557,14.469049466977594,2,CONTINUE,InProgress,1,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,CyclicLR,0.0003807170922352,66,1.4977658426189138e-05,81,35.151827852998395
4,0.0006374252215821,0.0006318876492318,0.6490372593148287,0.0006361473202705,0.641,1722125969.4148598,15.800304472009884,3,CONTINUE,InProgress,3,MHc-130_MA-90,ttZ,Combined,ParticleNet,RMSprop,ReduceLROnPlateau,0.0001882165304864,52,0.0033278758312367,81,35.15185662798467
4,0.0007063525753457,0.0007044841987426,0.510752688172043,0.0007059214115142,0.506,1722125969.4360714,15.84969644001103,3,CONTINUE,InProgress,4,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adadelta,ExponentialLR,0.0058796028801387,40,9.032015351565142e-05,81,35.15188523198594
4,0.0006826008564153,0.0006795844515432,0.5655163790947737,0.0006819047629833,0.5595,1722125969.4742773,15.881815759988967,3,CONTINUE,InProgress,2,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,CyclicLR,0.0001241830821568,65,3.1602462667339045e-05,81,35.15191307399073
4,0.0006548363619664,0.0006494407923288,0.6315953988497124,0.0006535912305116,0.62425,1722125969.7343936,16.117741207999643,3,CONTINUE,InProgress,0,MHc-130_MA-90,ttZ,Combined,ParticleNet,Adam,ExponentialLR,0.001,64,0.0003162277660168,81,35.15194810999674
