prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 6498.000000, 0.751651, 0.000000
ptcorr_15to20_EB2, 4748.000000, 0.093335, 0.368909
ptcorr_15to20_EE, 8855.000000, 0.073243, 0.453673
ptcorr_20to25_EB1, 5605.000000, 0.016536, 0.470016
ptcorr_20to25_EB2, 5021.000000, 0.034040, 0.492458
ptcorr_20to25_EE, 10146.000000, 0.118564, 0.437888
ptcorr_25to35_EB1, 7106.000000, 0.000000, 0.400665
ptcorr_25to35_EB2, 7008.000000, 0.000000, 0.404650
ptcorr_25to35_EE, 17051.000000, 0.027934, 0.357123
ptcorr_35to50_EB1, 5788.000000, 0.060073, 0.292715
ptcorr_35to50_EB2, 6074.000000, 0.136819, 0.277666
ptcorr_35to50_EE, 16464.000000, 0.210288, 0.239340
ptcorr_50to100_EB1, 4800.000000, 0.422572, 0.000000
ptcorr_50to100_EB2, 4999.000000, 0.390825, 0.000000
ptcorr_50to100_EE, 14490.000000, 0.353179, 0.000000
ptcorr_100to200_EB1, 660.000000, 0.385445, 0.000040
ptcorr_100to200_EB2, 663.000000, 0.383071, 0.000002
ptcorr_100to200_EE, 1955.000000, 0.161677, 0.000000
