prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 846.000000, 0.881219, 0.000000
ptcorr_15to20_EB2, 528.000000, 0.257683, 0.354962
ptcorr_15to20_EE, 753.000000, 0.096455, 0.495819
ptcorr_20to25_EB1, 706.000000, 0.073842, 0.499437
ptcorr_20to25_EB2, 535.000000, 0.031443, 0.563643
ptcorr_20to25_EE, 800.000000, 0.009861, 0.556657
ptcorr_25to35_EB1, 737.000000, 0.020787, 0.550213
ptcorr_25to35_EB2, 656.000000, 0.000002, 0.570702
ptcorr_25to35_EE, 1117.000000, 0.000014, 0.492596
ptcorr_35to50_EB1, 527.000000, 0.000002, 0.395671
ptcorr_35to50_EB2, 548.000000, 0.000003, 0.437962
ptcorr_35to50_EE, 981.000000, 0.000000, 0.430259
ptcorr_50to100_EB1, 505.000000, 0.014757, 0.299260
ptcorr_50to100_EB2, 468.000000, 0.041355, 0.219988
ptcorr_50to100_EE, 951.000000, 0.015694, 0.213646
ptcorr_100to200_EB1, 99.000000, 0.052000, 0.285371
ptcorr_100to200_EB2, 80.000000, 0.000000, 0.323627
ptcorr_100to200_EE, 159.000000, 0.027978, 0.096434
