prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 3294.000000, 0.803798, 0.061284
ptcorr_15to20_EB2, 2439.000000, 0.108848, 0.371923
ptcorr_15to20_EE, 5258.000000, 0.035628, 0.483807
ptcorr_20to25_EB1, 1841.000000, 0.015985, 0.400501
ptcorr_20to25_EB2, 1644.000000, 0.003097, 0.439905
ptcorr_20to25_EE, 3962.000000, 0.055865, 0.434937
ptcorr_25to35_EB1, 2158.000000, 0.000000, 0.274681
ptcorr_25to35_EB2, 1982.000000, 0.000000, 0.308110
ptcorr_25to35_EE, 4737.000000, 0.036757, 0.325784
ptcorr_35to50_EB1, 2109.000000, 0.084766, 0.120803
ptcorr_35to50_EB2, 1979.000000, 0.060707, 0.188794
ptcorr_35to50_EE, 3920.000000, 0.057277, 0.229649
ptcorr_50to100_EB1, 2185.000000, 0.097598, 0.043911
ptcorr_50to100_EB2, 1986.000000, 0.088190, 0.084043
ptcorr_50to100_EE, 3486.000000, 0.060328, 0.130670
ptcorr_100to200_EB1, 399.000000, 0.081869, 0.164822
ptcorr_100to200_EB2, 355.000000, 0.090538, 0.187701
ptcorr_100to200_EE, 561.000000, 0.100111, 0.068512
