prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 454.000000, 0.798811, 0.000000
ptcorr_15to20_EB2, 298.000000, 0.305898, 0.320502
ptcorr_15to20_EE, 471.000000, 0.052681, 0.492071
ptcorr_20to25_EB1, 256.000000, 0.057275, 0.384437
ptcorr_20to25_EB2, 192.000000, 0.024079, 0.490719
ptcorr_20to25_EE, 343.000000, 0.063914, 0.479811
ptcorr_25to35_EB1, 237.000000, 0.078604, 0.334670
ptcorr_25to35_EB2, 186.000000, 0.000000, 0.431913
ptcorr_25to35_EE, 376.000000, 0.047829, 0.389796
ptcorr_35to50_EB1, 207.000000, 0.049994, 0.062377
ptcorr_35to50_EB2, 191.000000, 0.021200, 0.300648
ptcorr_35to50_EE, 270.000000, 0.037681, 0.299148
ptcorr_50to100_EB1, 280.000000, 0.000000, 0.103128
ptcorr_50to100_EB2, 239.000000, 0.000000, 0.093863
ptcorr_50to100_EE, 256.000000, 0.000001, 0.178774
ptcorr_100to200_EB1, 68.000000, 0.000000, 0.250507
ptcorr_100to200_EB2, 47.000000, 0.000000, 0.317581
ptcorr_100to200_EE, 51.000000, 0.000001, 0.192627
