epoch,objective,train_loss,train_accuracy,valid_loss,valid_accuracy,st_worker_timestamp,st_worker_time,st_worker_iter,st_decision,st_status,trial_id,config_signal,config_background,config_channel,config_model,config_optimizer,config_scheduler,config_initLR,config_nNodes,config_weight_decay,config_max_epochs,config_penalty,st_tuner_time
1,0.0006706922534675,0.0006647701071841,0.5981904761904762,0.0006693256043252,0.6028095238095238,1724878456.9604392,279.3010834349552,0,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNetV2,Adam,ExponentialLR,0.0005673755943607,36,0.0078460179630399,81,0.3,310.2509888279019
1,0.0006989122382232,0.0006903863719531,0.5053809523809524,0.0006969447306224,0.5057619047619047,1724878457.4887545,279.8290354729397,0,CONTINUE,InProgress,3,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNetV2,Adadelta,ExponentialLR,0.0003238935106175,108,0.0048040174882625,81,0.3,310.2568422239274
1,0.0006213203721103,0.0006179591403121,0.6616785714285714,0.0006205447032338,0.665952380952381,1724878459.2022147,281.5433654580265,0,CONTINUE,InProgress,9,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNet,RMSprop,CyclicLR,0.0029978534926299,36,1.0956091512430492e-05,81,0.3,315.3028231199132
1,0.0005919856668228,0.0005855329441172,0.6993214285714285,0.0005904965769676,0.6995238095238095,1724878459.4099216,281.7513235770166,0,CONTINUE,InProgress,4,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNet,RMSprop,CyclicLR,0.0061257277596856,64,2.410737834180567e-05,81,0.3,315.30288981390186
1,0.0006362353719416,0.0006348706767672,0.6302738095238095,0.0006359204422859,0.636095238095238,1724878460.1466472,282.4879120230908,0,CONTINUE,InProgress,0,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNetV2,Adam,ExponentialLR,0.001,32,0.0003162277660168,81,0.3,315.3029240228934
1,0.0006033037423377,0.000602610658322,0.6773690476190476,0.0006031437998726,0.6831904761904762,1724878461.9206696,284.2631818699884,0,CONTINUE,InProgress,8,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNetV2,Adam,CyclicLR,0.0051122250894402,108,0.0001669591242713,81,0.3,315.3029577078996
1,0.0007112557166389,0.0007006176021837,0.4796190476190476,0.0007088007671492,0.4723809523809524,1724878462.0888634,284.4302125260001,0,CONTINUE,InProgress,5,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNet,Adadelta,ExponentialLR,0.0063898050296514,32,1.8213025659750983e-05,81,0.3,315.3029859008966
1,0.0005997927073211,0.0005954345244736,0.6856904761904762,0.0005987869728179,0.6872857142857143,1724878462.2814653,284.62237870390527,0,CONTINUE,InProgress,2,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNet,RMSprop,ReduceLROnPlateau,0.0006445367658743,124,6.957194825847036e-05,81,0.3,315.30302246299107
1,0.0006658703987797,0.0006612628123589,0.5976666666666667,0.0006648071096056,0.6044285714285714,1724878463.4759085,285.8172695790417,0,CONTINUE,InProgress,6,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNetV2,Adam,ExponentialLR,0.0002421500209669,40,0.0001406718952937,81,0.3,315.3030532259727
1,0.0006086379421608,0.0006045833726723,0.6731904761904762,0.0006077022722789,0.6750952380952381,1724878463.714279,286.0558329799678,0,CONTINUE,InProgress,1,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNet,Adam,ExponentialLR,0.0019453953702247,100,0.0003842466815493,81,0.3,315.3030785449082
1,0.000651355728507,0.0006410388591743,0.6271547619047619,0.0006489749125071,0.6286190476190476,1724878465.4843848,287.82559436000884,0,CONTINUE,InProgress,7,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNet,Adam,ExponentialLR,0.0008177489848973,52,0.0001795579688804,81,0.3,320.3049155799672
1,0.0006073694517215,0.0006050914341495,0.6736666666666666,0.0006068437553587,0.68,1724878465.6547914,287.99564442399424,0,CONTINUE,InProgress,11,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNet,RMSprop,CyclicLR,0.0005794501041327,60,0.0008364948754232,81,0.3,320.3049541589571
2,0.0005956038875239,0.0005914536799703,0.6920833333333334,0.0005946461473192,0.6964285714285714,1724878679.600208,501.9413619820261,1,CONTINUE,InProgress,9,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNet,RMSprop,CyclicLR,0.0029978534926299,36,1.0956091512430492e-05,81,0.3,535.4272219799459
2,0.0007782618081995,0.0007778405710345,0.4995,0.0007781645996229,0.5057142857142857,1724878680.6395574,502.9809610879747,1,CONTINUE,InProgress,4,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNet,RMSprop,CyclicLR,0.0061257277596856,64,2.410737834180567e-05,81,0.3,535.429992612917
2,0.0007002419921613,0.0006905723710854,0.5033571428571428,0.0006980105411438,0.5042857142857143,1724878682.051774,504.3920579720289,1,CONTINUE,InProgress,3,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNetV2,Adadelta,ExponentialLR,0.0003238935106175,108,0.0048040174882625,81,0.3,535.4300284179626
2,0.000639160027958,0.0006357299202964,0.632452380952381,0.0006383684646515,0.6357619047619048,1724878682.5429697,504.8836111020064,1,CONTINUE,InProgress,10,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNetV2,Adam,ExponentialLR,0.0005673755943607,36,0.0078460179630399,81,0.3,535.4300546349259
2,0.0005808057273427,0.0005773019073974,0.7069761904761904,0.0005799971535092,0.7114761904761905,1724878686.306523,508.64744243596215,1,CONTINUE,InProgress,2,MHc-130_MA-90,ttZ,Skim1E2Mu,ParticleNet,RMSprop,ReduceLROnPlateau,0.0006445367658743,124,6.957194825847036e-05,81,0.3,540.4538959329948
