,,,Scale
MeasFakeMu8,loose,Central,9.182550911404194e-05
MeasFakeMu8,loose,PromptNormUp,0.00010559933548114822
MeasFakeMu8,loose,PromptNormDown,7.805168274693565e-05
MeasFakeMu8,loose,MotherJetPtUp,9.399633792981812e-05
MeasFakeMu8,loose,MotherJetPtDown,8.970621163574908e-05
MeasFakeMu8,loose,RequireHeavyTag,7.250470634238268e-05
MeasFakeMu8,tight,Central,9.104580448709018e-05
MeasFakeMu8,tight,PromptNormUp,0.0001047026751601537
MeasFakeMu8,tight,PromptNormDown,7.738893381402665e-05
MeasFakeMu8,tight,MotherJetPtUp,9.449771179963105e-05
MeasFakeMu8,tight,MotherJetPtDown,8.863782231447335e-05
MeasFakeMu8,tight,RequireHeavyTag,6.831728563324793e-05
MeasFakeMu17,loose,Central,0.00158953396524954
MeasFakeMu17,loose,PromptNormUp,0.001827964060036971
MeasFakeMu17,loose,PromptNormDown,0.0013511038704621088
MeasFakeMu17,loose,MotherJetPtUp,0.0017563611015289718
MeasFakeMu17,loose,MotherJetPtDown,0.0015682746593622507
MeasFakeMu17,loose,RequireHeavyTag,0.0018140696448384226
MeasFakeMu17,tight,Central,0.0015828346769311639
MeasFakeMu17,tight,PromptNormUp,0.0018202598784708382
MeasFakeMu17,tight,PromptNormDown,0.0013454094753914893
MeasFakeMu17,tight,MotherJetPtUp,0.0017461388389671613
MeasFakeMu17,tight,MotherJetPtDown,0.0015606192974967298
MeasFakeMu17,tight,RequireHeavyTag,0.0016971014977303575
